Red, 917, RALEN, Arrived, 7/6/2012 5:31:42 PM, -00:05:24, Revenue, 0
Red, 923, RALEN, Arrived, 7/6/2012 5:29:45 PM, -00:07:21, Revenue, 0
Red, 936, RALEN, Arrived, 7/6/2012 5:36:00 PM, -00:01:06, Revenue, 0
Red, 938, RHARN, Arrived, 7/6/2012 5:36:55 PM, -00:00:11, Revenue, 0
Red, 938, RPORN, Predicted, 7/6/2012 5:40:32 PM, 00:03:26, Revenue, 0
Red, 938, RDAVN, Predicted, 7/6/2012 5:43:00 PM, 00:05:53, Revenue, 0
Red, 938, RALEN, Predicted, 7/6/2012 5:46:46 PM, 00:09:39, Revenue, 0
Red, 940, RNQUS, Arrived, 7/6/2012 5:35:03 PM, -00:02:03, Revenue, 0
Red, 940, RWOLS, Predicted, 7/6/2012 5:37:34 PM, 00:00:27, Revenue, 0
Red, 940, RQUCS, Predicted, 7/6/2012 5:40:41 PM, 00:03:34, Revenue, 0
Red, 940, RQUAS, Predicted, 7/6/2012 5:43:30 PM, 00:06:23, Revenue, 0
Red, 940, RBRAS, Predicted, 7/6/2012 5:47:52 PM, 00:10:45, Revenue, 0
Red, 943, RHARN, Arrived, 7/6/2012 5:34:06 PM, -00:03:00, Revenue, 0
Red, 943, RPORN, Predicted, 7/6/2012 5:37:44 PM, 00:00:37, Revenue, 0
Red, 943, RDAVN, Predicted, 7/6/2012 5:40:11 PM, 00:03:04, Revenue, 0
Red, 943, RALEN, Predicted, 7/6/2012 5:45:10 PM, 00:08:03, Revenue, 0
Red, 946, RJFKS, Arrived, 7/6/2012 5:35:41 PM, -00:01:25, Revenue, 1
Red, 946, RSAVS, Predicted, 7/6/2012 5:37:44 PM, 00:00:37, Revenue, 1
Red, 946, RFIES, Predicted, 7/6/2012 5:41:56 PM, 00:04:50, Revenue, 1
Red, 946, RSHAS, Predicted, 7/6/2012 5:44:02 PM, 00:06:55, Revenue, 1
Red, 946, RASHS, Predicted, 7/6/2012 5:46:35 PM, 00:09:28, Revenue, 1
Red, 949, RSOUS, Arrived, 7/6/2012 5:35:05 PM, -00:02:01, Revenue, 0
Red, 949, RBROS, Predicted, 7/6/2012 5:37:14 PM, 00:00:07, Revenue, 0
Red, 949, RANDS, Predicted, 7/6/2012 5:39:43 PM, 00:02:36, Revenue, 0
Red, 949, RJFKS, Predicted, 7/6/2012 5:42:38 PM, 00:05:31, Revenue, 0
Red, 949, RNQUS, Predicted, 7/6/2012 5:49:35 PM, 00:12:29, Revenue, 0
Red, 949, RWOLS, Predicted, 7/6/2012 5:52:06 PM, 00:15:00, Revenue, 0
Red, 949, RQUCS, Predicted, 7/6/2012 5:55:14 PM, 00:18:07, Revenue, 0
Red, 949, RQUAS, Predicted, 7/6/2012 5:58:03 PM, 00:20:56, Revenue, 0
Red, 949, RBRAS, Predicted, 7/6/2012 6:02:25 PM, 00:25:18, Revenue, 0
Red, 950, RDTCN, Arrived, 7/6/2012 5:36:35 PM, -00:00:30, Revenue, 0
Red, 950, RPRKN, Predicted, 7/6/2012 5:38:34 PM, 00:01:28, Revenue, 0
Red, 950, RMGHN, Predicted, 7/6/2012 5:42:23 PM, 00:05:16, Revenue, 0
Red, 950, RKENN, Predicted, 7/6/2012 5:44:52 PM, 00:07:45, Revenue, 0
Red, 950, RCENN, Predicted, 7/6/2012 5:48:03 PM, 00:10:57, Revenue, 0
Red, 950, RHARN, Predicted, 7/6/2012 5:51:42 PM, 00:14:36, Revenue, 0
Red, 950, RPORN, Predicted, 7/6/2012 5:55:20 PM, 00:18:14, Revenue, 0
Red, 950, RDAVN, Predicted, 7/6/2012 5:57:48 PM, 00:20:41, Revenue, 0
Red, 950, RALEN, Predicted, 7/6/2012 6:01:34 PM, 00:24:27, Revenue, 0
Red, 953, RQUAS, Arrived, 7/6/2012 5:36:24 PM, -00:00:41, Revenue, 0
Red, 953, RBRAS, Predicted, 7/6/2012 5:40:46 PM, 00:03:39, Revenue, 0
Red, 957, RMGHN, Arrived, 7/6/2012 5:35:24 PM, -00:01:42, Revenue, 0
Red, 957, RKENN, Predicted, 7/6/2012 5:37:52 PM, 00:00:46, Revenue, 0
Red, 957, RCENN, Predicted, 7/6/2012 5:41:04 PM, 00:03:57, Revenue, 0
Red, 957, RHARN, Predicted, 7/6/2012 5:44:43 PM, 00:07:36, Revenue, 0
Red, 957, RPORN, Predicted, 7/6/2012 5:48:21 PM, 00:11:14, Revenue, 0
Red, 957, RDAVN, Predicted, 7/6/2012 5:50:48 PM, 00:13:41, Revenue, 0
Red, 957, RALEN, Predicted, 7/6/2012 5:55:47 PM, 00:18:41, Revenue, 0
Red, 961, RANDN, Arrived, 7/6/2012 5:36:39 PM, -00:00:27, Revenue, 0
Red, 961, RBRON, Predicted, 7/6/2012 5:39:02 PM, 00:01:56, Revenue, 0
Red, 961, RSOUN, Predicted, 7/6/2012 5:41:36 PM, 00:04:29, Revenue, 0
Red, 961, RDTCN, Predicted, 7/6/2012 5:42:34 PM, 00:05:27, Revenue, 0
Red, 961, RPRKN, Predicted, 7/6/2012 5:44:33 PM, 00:07:26, Revenue, 0
Red, 961, RMGHN, Predicted, 7/6/2012 5:48:21 PM, 00:11:15, Revenue, 0
Red, 961, RKENN, Predicted, 7/6/2012 5:50:50 PM, 00:13:44, Revenue, 0
Red, 961, RCENN, Predicted, 7/6/2012 5:54:02 PM, 00:16:55, Revenue, 0
Red, 961, RHARN, Predicted, 7/6/2012 5:57:41 PM, 00:20:34, Revenue, 0
Red, 961, RPORN, Predicted, 7/6/2012 6:01:19 PM, 00:24:12, Revenue, 0
Red, 961, RDAVN, Predicted, 7/6/2012 6:03:46 PM, 00:26:39, Revenue, 0
Red, 961, RALEN, Predicted, 7/6/2012 6:07:32 PM, 00:30:25, Revenue, 0
Red, 966, RJFKS, Arrived, 7/6/2012 5:31:28 PM, -00:05:38, Revenue, 0
Red, 966, RNQUS, Predicted, 7/6/2012 5:38:24 PM, 00:01:17, Revenue, 0
Red, 966, RWOLS, Predicted, 7/6/2012 5:40:55 PM, 00:03:48, Revenue, 0
Red, 966, RQUCS, Predicted, 7/6/2012 5:44:03 PM, 00:06:56, Revenue, 0
Red, 966, RQUAS, Predicted, 7/6/2012 5:46:52 PM, 00:09:45, Revenue, 0
Red, 966, RBRAS, Predicted, 7/6/2012 5:51:13 PM, 00:14:07, Revenue, 0
Red, 967, RDTCS, Arrived, 7/6/2012 5:35:53 PM, -00:01:13, Revenue, 1
Red, 967, RSOUS, Predicted, 7/6/2012 5:40:20 PM, 00:03:13, Revenue, 1
Red, 967, RBROS, Predicted, 7/6/2012 5:42:29 PM, 00:05:22, Revenue, 1
Red, 967, RANDS, Predicted, 7/6/2012 5:44:57 PM, 00:07:51, Revenue, 1
Red, 967, RJFKS, Predicted, 7/6/2012 5:47:46 PM, 00:10:39, Revenue, 1
Red, 967, RSAVS, Predicted, 7/6/2012 5:49:48 PM, 00:12:42, Revenue, 1
Red, 967, RFIES, Predicted, 7/6/2012 5:54:01 PM, 00:16:54, Revenue, 1
Red, 967, RSHAS, Predicted, 7/6/2012 5:56:07 PM, 00:19:00, Revenue, 1
