 ------- 10/18/2010 2:50:45 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:00:00, Revenue, 1
Red, 2, RSAVS, Predicted, 10/18/2010 2:53:45 PM, 00:02:59, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:56:45 PM, 00:05:59, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:59:45 PM, 00:08:59, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:01:45 PM, 00:10:59, Revenue, 1
 ------- 10/18/2010 2:51:03 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:00:17, Revenue, 1
Red, 2, RSAVS, Predicted, 10/18/2010 2:53:45 PM, 00:02:42, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:56:45 PM, 00:05:42, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:59:45 PM, 00:08:42, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:01:45 PM, 00:10:42, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, 00:00:00, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:02:00, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:04:00, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:06:00, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:08:00, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:12:00, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:15:00, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:18:00, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:21:00, Revenue, 0
 ------- 10/18/2010 2:51:15 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:00:29, Revenue, 1
Red, 2, RSAVS, Predicted, 10/18/2010 2:53:45 PM, 00:02:30, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:56:45 PM, 00:05:30, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:59:45 PM, 00:08:30, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:01:45 PM, 00:10:30, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:00:11, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:01:48, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:03:48, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:05:48, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:07:48, Revenue, 0
Red, 5, RHARN, Predicted, 10/18/2010 3:03:03 PM, 00:11:48, Revenue, 0
Red, 5, RPORN, Predicted, 10/18/2010 3:06:03 PM, 00:14:48, Revenue, 0
Red, 5, RDAVN, Predicted, 10/18/2010 3:09:03 PM, 00:17:48, Revenue, 0
Red, 5, RALEN, Predicted, 10/18/2010 3:12:03 PM, 00:20:48, Revenue, 0
Red, 10, RCENS, Arrived, 10/18/2010 2:51:15 PM, 00:00:00, Revenue, 0
Red, 10, RKENS, Predicted, 10/18/2010 2:54:15 PM, 00:03:00, Revenue, 0
Red, 10, RMGHS, Predicted, 10/18/2010 2:56:15 PM, 00:05:00, Revenue, 0
Red, 10, RPRKS, Predicted, 10/18/2010 2:58:15 PM, 00:07:00, Revenue, 0
Red, 10, RDTCS, Predicted, 10/18/2010 3:00:15 PM, 00:09:00, Revenue, 0
Red, 10, RSOUS, Predicted, 10/18/2010 3:02:15 PM, 00:11:00, Revenue, 0
Red, 10, RBROS, Predicted, 10/18/2010 3:04:15 PM, 00:13:00, Revenue, 0
Red, 10, RANDS, Predicted, 10/18/2010 3:06:15 PM, 00:15:00, Revenue, 0
Red, 10, RJFKS, Predicted, 10/18/2010 3:08:15 PM, 00:17:00, Revenue, 0
Red, 10, RNQUS, Predicted, 10/18/2010 3:17:15 PM, 00:26:00, Revenue, 0
Red, 10, RWOLS, Predicted, 10/18/2010 3:20:15 PM, 00:29:00, Revenue, 0
Red, 10, RQUCS, Predicted, 10/18/2010 3:23:15 PM, 00:32:00, Revenue, 0
Red, 10, RQUAS, Predicted, 10/18/2010 3:26:15 PM, 00:35:00, Revenue, 0
Red, 10, RBRAS, Predicted, 10/18/2010 3:30:15 PM, 00:39:00, Revenue, 0
 ------- 10/18/2010 2:51:51 PM -------- 
Red, 2, RJFKS, Arrived, 10/18/2010 2:50:45 PM, -00:01:05, Revenue, 1
